park_placekey,park_name,CITY,LATITUDE,LONGITUDE,area_m2,venues,median_weekly_visits,miles_to_nearest_site,share_amenity,share_booked,share_not_parklike,suspect,screen_1_any_park,screen_2_not_nonpark,screen_3_amenities,kept_by_name,pre_2024,post_2024,pre_2025,post_2025,pct_2024,pct_2025,excess
zzz-222@5z4-zvt-hdv,Stoneview Park,Culver City,34.0143,-118.3775,20257.0,1,186.5,1.96,0.0,0.0,0.0,False,False,False,False,False,514.0,468.5,503.0,491.0,-8.8521,-2.3857,6.4665
zzz-222@5z5-38w-wrk,Two Strike Park,La Crescenta Montrose,34.2334,-118.2363,33150.0,1,25.0,10.43,1.0,0.0,0.0,False,False,False,False,False,42.25,28.5,47.25,35.0,-32.5444,-25.9259,6.6185
zzz-222@5z4-rg3-f2k,Woodgrove Open Space,West Covina,34.0371,-117.9152,109312.0,2,2946.0,9.15,0.0,0.0,0.0,False,True,True,False,False,3553.25,3772.0,3458.0,3985.75,6.1563,15.2617,9.1054
zzz-222@5z5-3n4-h3q,Sorensen Park,West Whittier Los Nietos,33.9794,-118.0611,46313.0,1,389.5,1.19,1.0,0.0,0.0,False,False,False,False,False,471.25,358.75,462.0,394.5,-23.8727,-14.6104,9.2623
zzz-222@5z4-xgw-fzz,Antelope Valley Indian Museum State Historic Park,Lancaster,34.65,-117.8497,653793.0,2,221.0,41.85,1.0,0.0,0.0,False,True,True,False,False,581.5,554.25,577.25,604.75,-4.6862,4.764,9.4501
zzz-222@5z5-34n-qcq,Memorial Park,Pasadena,34.1479,-118.1486,22504.0,5,3147.5,6.25,0.2,0.0,0.2,True,False,False,False,False,3256.25,2833.75,3406.75,3354.75,-12.975,-1.5264,11.4487
zzz-222@5z4-zxf-r49,Ladera Park,View Park Windsor Hills,33.9861,-118.3596,57864.0,1,547.0,0.29,0.0,0.0,0.0,False,False,False,False,False,519.5,433.5,538.75,514.5,-16.5544,-4.5012,12.0532
zzz-222@5z5-35h-7wk,Vina Vieja Park,Pasadena,34.1573,-118.0863,35872.0,3,4822.0,9.43,0.0,0.0,0.3333,False,True,True,False,False,5694.0,5908.5,5385.75,6268.5,3.7671,16.3905,12.6234
zzz-222@5z5-383-3qz,Stough Canyon Nature Center,Burbank,34.2174,-118.3057,878094.0,1,36.0,7.86,0.0,0.0,0.0,False,False,False,False,False,75.0,41.0,77.0,52.5,-45.3333,-31.8182,13.5152
zzz-222@5z5-3pt-kxq,Hermon Park,Los Angeles,34.1056,-118.1868,95152.0,1,72.0,2.66,0.0,0.0,0.0,False,False,False,False,False,184.75,161.5,174.75,178.25,-12.5846,2.0029,14.5874
zzz-222@5z4-z5w-yjv,Mulholland Gateway Park,Los Angeles,34.137,-118.5748,3545608.0,1,1488.0,12.73,0.0,0.0,1.0,False,False,False,False,False,1395.75,1376.25,1551.0,1784.75,-1.3971,15.0709,16.468
zzz-222@5z5-3nd-kvf,William Penn Park,Whittier,33.9745,-118.0239,22788.0,1,49.0,1.59,0.0,1.0,0.0,False,False,False,False,False,152.0,151.75,133.0,157.75,-0.1645,18.609,18.7735
zzw-222@5z5-3t6-wx5,South Hills Wilderness Park,Glendora,34.1251,-117.8557,1067274.0,90,3639.0,15.65,0.4,0.0222,0.0444,False,True,True,False,False,32642.0,26310.5,19862.5,19933.75,-19.3968,0.3587,19.7555
zzz-222@5z6-3cf-7nq,Signal Hill Park,Signal Hill,33.796,-118.1691,37295.0,4,428.5,6.43,0.75,0.0,0.25,False,False,False,False,False,511.0,402.5,438.25,432.5,-21.2329,-1.312,19.9208
zzz-222@5z4-xtc-8gk,Palmdale Oasis Park,Palmdale,34.5565,-118.0608,116958.0,4,1784.0,28.52,0.25,0.25,0.75,False,True,False,False,False,3876.5,7169.5,3009.25,6316.5,84.9478,109.9028,24.955
zzz-222@5z4-zd7-4n5,North Hollywood Park,North Hollywood,34.1674,-118.3801,198827.0,2,3346.5,7.79,0.0,0.0,1.0,False,True,False,False,False,7143.75,5689.5,6911.25,7306.25,-20.357,5.7153,26.0723
zzz-222@5z5-3st-qvf,Monrovia Wilderness Preserve,Arcadia,34.1727,-118.0066,4818878.0,1,36.5,13.92,0.0,0.0,0.0,False,False,False,False,False,71.5,33.3333,71.0,52.5,-53.38,-26.0563,27.3236
zzy-223@5z4-rnw-dgk,Frank G Bonelli Regional Park,La Verne,34.0829,-117.7996,7344356.0,6,17176.5,16.45,0.3333,0.3333,0.0,False,True,True,False,False,26828.25,41439.75,20499.0,38380.0,54.4631,87.2286,32.7655
