PLACEKEY,PARENT_PLACEKEY,SAFEGRAPH_PLACE_ID,STORE_ID,LOCATION_NAME,STREET_ADDRESS,CITY,POSTAL_CODE,WEBSITE,LATITUDE,LONGITUDE,NAICS_CODE,SUB_CATEGORY,WKT_AREA_SQ_METERS,GEOMETRY_TYPE,POLYGON_CLASS,IS_SYNTHETIC,ENCLOSED,INCLUDES_PARKING_LOT,GEOID,nbhd_class,share_in_city,in_city_la,miles_to_raid,nearest_site,veraset_days_2025,mean_visits_2025,mean_daily_visits_pre,mean_daily_visits_post,veraset_days_2024,mean_visits_2024,advan_venues_inside,in_la_parks_geojson,has_polygon,has_visit_data,area_m2,suspect_reason,quality_tier
zzz-222@5z5-3vh-pjv,,sg:4b68bd5db25949c686658ce7d78f8ca2,,Peck Road Water Conservation Park,Peck Rd,Arcadia,91006,,34.10062,-118.013282,712190,Nature Parks and Other Similar Institutions,694540,POLYGON,OWNED_POLYGON,False,False,True,06037431502,Other,0.0,False,9.575,Whittier,126,192.61111111111111,215.39285714285714,431.2413793103448,57,47.87719298245614,0,True,True,True,694540.0,,clean
zzz-222@5z6-3d2-v9f,,sg:43e1e301c0dd43b9a6b2bd8da007c810,,Baker Street Park,Baker Street Park,Long Beach,90805,,33.823677,-118.20208,712190,Nature Parks and Other Similar Institutions,5405,POLYGON,OWNED_POLYGON,False,False,,06037577900,Other,0.0,False,4.559,Paramount,126,201.94444444444446,214.78571428571428,496.2758620689655,37,96.24324324324324,0,False,True,True,5405.0,,clean
zzz-222@5z4-rq3-q4v,,sg:10e656937e08458eb95d9f13d2ea3c64,,Rancho San Jose Park,Rancho San Jose Park,Claremont,91711,,34.082445,-117.723994,712190,Nature Parks and Other Similar Institutions,3968,POLYGON,OWNED_POLYGON,False,False,False,06037402001,Other,0.0,False,20.314,Whittier,124,152.45967741935485,214.2962962962963,304.2413793103448,50,50.62,0,False,True,True,3968.0,,clean
zzz-222@5z4-vqd-yy9,,sg:19ee629e00884f758a5c0afb7c729c07,,Elsmere Canyon Park,Elsmere Canyon Park,Newhall,91321,,34.356457,-118.502769,712190,Nature Parks and Other Similar Institutions,627009,POLYGON,OWNED_POLYGON,False,False,,06037930400,Other,0.0002,False,7.225,Pacoima,124,188.94354838709677,213.77777777777777,441.86206896551727,33,142.27272727272728,0,True,True,True,627009.0,,clean
zzz-222@5z5-385-yy9,,sg:f769fef26dae4ca2be42f2b5eb89e071,,La Tuna Canyon Park,6801 La Tuna Canyon Rd,Los Angeles,91352,,34.230889,-118.281948,712190,Nature Parks and Other Similar Institutions,297898,POLYGON,OWNED_POLYGON,False,False,,06037980020,Unclassified,1.0,True,8.708,Pacoima,125,198.76,210.8148148148148,425.41379310344826,36,71.22222222222223,0,True,True,True,297898.0,,clean
zzz-222@5z4-rgf-7dv,,sg:12a9bee9b989418e8b8c88a29b6945e5,,Los Coyotes Athletic Facility,Los Coyotes,La Mirada,90638,,33.897753,-117.987817,712190,Nature Parks and Other Similar Institutions,44924,POLYGON,OWNED_POLYGON,False,False,False,06037503801,Other,0.0,False,5.85,Whittier,126,188.81746031746033,208.82142857142858,444.8965517241379,43,155.62790697674419,0,True,True,True,44924.0,,clean
zzz-222@5z6-3sh-vpv,,sg:b78991164a52482f9689c6343649460f,,Dr Walter R Tucker Park,Dr Walter R Tucker Park,Compton,90220,,33.89201,-118.234806,712190,Nature Parks and Other Similar Institutions,10280,POLYGON,OWNED_POLYGON,False,False,True,06037542501,Other,0.0,False,2.856,Paramount,125,179.96,207.33333333333334,387.17241379310343,54,35.03703703703704,0,False,True,True,10280.0,,clean
22y-222@5z5-3mn-qmk,,sg:15710fdf661649e8a8b438a3c4dca810,,Bandini Park,Bandini Park,Commerce,90040,,34.007393,-118.171371,712190,Nature Parks and Other Similar Institutions,16586,POLYGON,OWNED_POLYGON,False,False,False,06037532302,70+ Latino,0.0016,False,2.755,Huntington Park,126,193.1031746031746,204.85714285714286,471.6551724137931,39,106.61538461538461,0,False,True,True,16586.0,,clean
zzz-222@5z6-3kb-k4v,,sg:85591daf2a8640faabb1d7c409f1f334,,Ruth R Caruthers Park,Ruth R Caruthers Park,Bellflower,90706,,33.878646,-118.110249,712190,Nature Parks and Other Similar Institutions,56924,POLYGON,OWNED_POLYGON,False,False,True,06037553100,Other,0.0,False,4.351,Paramount,126,163.22222222222223,204.53571428571428,341.44827586206895,40,91.5,0,True,True,True,56924.0,,clean
zzz-222@5z4-zcp-f75,,sg:e4be514c0c5a4f54ab1c0159ad7467ee,,Sepulveda Recreation Center,17017 Burbank Blvd,Los Angeles,91402,http://www.laparks.org,34.229953,-118.458088,712190,Nature Parks and Other Similar Institutions,42848,POLYGON,OWNED_POLYGON,False,False,True,06037120108,70+ Latino,1.0,True,3.556,Pacoima,126,217.94444444444446,201.96428571428572,421.7931034482759,56,72.5,0,True,True,True,42848.0,,clean
zzz-222@5z4-rgv-v9f,,sg:692f52b55eae41f8a2fd33c78f90ace7,,Murphy Ranch Park,Murphy Ranch Park,La Habra Heights,90603,https://latrailhikers.com/hikes/murphy-ranch-park,33.957758,-117.984565,712190,Nature Parks and Other Similar Institutions,78510,POLYGON,OWNED_POLYGON,False,False,,06037500202,Other,0.0,False,3.749,Whittier,124,156.83064516129033,200.76923076923077,306.2068965517241,48,25.708333333333332,0,True,True,True,78510.0,,clean
23r-223@5z4-zf9-yy9,,sg:45a5ac9f71ff397a907973a0da298458,,Encino Park West,5452 Lindley Ave,Encino,91316,,34.170244,-118.526992,712190,Nature Parks and Other Similar Institutions,2904,POLYGON,OWNED_POLYGON,False,False,False,06037139506,Other,1.0,True,9.211,Pacoima,114,164.32456140350877,200.74074074074073,303.41379310344826,43,75.16279069767442,0,False,True,True,2904.0,,clean
zzz-222@5z6-3mt-2c5,,sg:571f55b3fc0249dc8df63d639c6d88b2,,New River Park,New River Park,Norwalk,90650,http://www.recreationparks.net/CA/los-angeles/new-river-park-norwalk,33.907513,-118.101657,712190,Nature Parks and Other Similar Institutions,19533,POLYGON,OWNED_POLYGON,False,False,False,06037551900,Other,0.0,False,4.976,Paramount,126,153.94444444444446,200.5,209.27586206896552,54,46.5,0,False,True,True,19533.0,,clean
zzy-225@5z5-3qr-pd9,,sg:baebbbdf9a1937bb9c5b15d5a5a193fe,,Griffith Park Hollywood Ca.,Griffith Park Hollywood Ca,Los Angeles,90017,,34.055354,-118.2621,712190,Nature Parks and Other Similar Institutions,1773,POLYGON,OWNED_POLYGON,False,False,False,06037209202,70+ Latino,1.0,True,0.572,Westlake,35,225.05714285714285,200.16666666666666,230.20689655172413,0,,0,False,True,True,1773.0,under 0.2 ha: a park fragment or a point feature,suspect
